Name,Source,Size,Type,Alignment,AC,HP,Speed,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Mythic Actions,Lair Actions,Regional Effects,Environment
Nilbog,MPMM,Small,fey (goblinoid),chaotic neutral,13 (leather armor),7 (2d6),30 ft.,8,14,10,10,8,15,,Stealth +6,,,,,"darkvision 60 ft., passive Perception 9","Common, Goblin",1.0," Nilbogism. Any creature that attempts to damage the nilbog must first succeed on a DC 12 Charisma saving throw or be charmed until the end of the creature's next turn. A creature charmed in this way must use its action praising the nilbog.The nilbog can't regain hit points, including through magical healing, except through its Reversal of Fortune reaction."," Fool's Scepter. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage. Mocking Word. The nilbog targets one creature it can see within 60 feet of it. The target must succeed on a DC 12 Wisdom saving throw or take 5 (2d4) psychic damage and have disadvantage on its next attack roll before the end of its next turn. Spellcasting. The nilbog casts one of the following spells, using Charisma as the spellcasting ability (spell save DC 12):At will: mage hand, Tasha's hideous laughter", Nimble Escape. The nilbog takes the Disengage or Hide action.," Reversal of Fortune. In response to another creature dealing damage to the nilbog, the nilbog reduces the damage to 0 and regains 3 (1d6) hit points.",,,,,"Forest, Hill, Underdark"
Boggle,MPMM,Small,fey,chaotic neutral,14,18 (4d6 + 4),"30 ft., climb 30 ft.",8,18,13,6,12,7,,"Perception +5, Sleight of Hand +6, Stealth +6",,fire,,,"darkvision 60 ft., passive Perception 15",Sylvan,0.125,," Pummel. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) bludgeoning damage. Oil Puddle. The boggle creates a puddle of nonflammable oil. The puddle is 1 inch deep and covers the ground in the boggle's space. The puddle is difficult terrain for all creatures except boggles and lasts for 1 hour. The oil has one of the following additional effects of the boggle's choice:Slippery Oil. Any non-boggle creature that enters the puddle or starts its turn there must succeed on a DC 11 Dexterity saving throw or fall prone.Sticky Oil. Any non-boggle creature that enters the puddle or starts its turn there must succeed on a DC 11 Strength saving throw or be restrained. On its turn, a creature can use an action to try to extricate itself, ending the effect and moving into the nearest unoccupied space of its choice with a successful DC 11 Strength check."," Boggle Oil. The boggle excretes nonflammable oil from its pores, giving itself one of the following benefits of its choice until it uses this bonus action again:Slippery Oil. The boggle has advantage on Dexterity (Acrobatics) checks made to escape bonds and end grapples, and it can move through openings large enough for a Tiny creature without squeezing.Sticky Oil. The boggle has advantage on Strength (Athletics) checks made to grapple and any ability check made to maintain a hold on another creature, a surface, or an object. The boggle can also climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Dimensional Rift. The boggle creates an invisible and immobile rift within an opening or frame it can see within 5 feet of it, provided that the space is no bigger than 10 feet on any side. The dimensional rift bridges the distance between that space and a point within 30 feet of it that the boggle can see or specify by distance and direction (such as ""30 feet straight up""). While next to the rift, the boggle can see through it and is considered to be next to the destination as well, and anything the boggle puts through the rift (including a portion of its body) emerges at the destination. Only the boggle can use the rift, and it lasts until the end of the boggle's next turn.",,,,,,"Forest, Hill, Underdark, Urban"
Mastiff,MM,Medium,beast,unaligned,12,5 (1d8 + 1),40 ft.,13,14,12,3,12,7,,Perception +3,,,,,passive Perception 13,—,0.125, Keen Hearing and Smell. The mastiff has advantage on Wisdom (Perception) checks that rely on hearing or smell.," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.",,,,,,,"Forest, Hill, Urban"
Choker,MPMM,Small,aberration,chaotic evil,16 (natural armor),13 (3d6 + 3),30 ft.,16,14,13,4,12,7,,Stealth +6,,,,,"darkvision 60 ft., passive Perception 11",Deep Speech,1.0," Aberrant Quickness (Recharges after a Short or Long Rest). The choker can take an extra action on its turn. Boneless. The choker can move through and occupy a space as narrow as 4 inches wide without squeezing. Spider Climb. The choker can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Multiattack. The choker makes two Tentacle attacks. Tentacle. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 5 (1d4 + 3) piercing damage. If the target is a Large or smaller creature, it is grappled (escape DC 15). Until this grapple ends, the target is restrained, and the choker can't use this tentacle on another target. The choker has two tentacles. If this attack is a critical hit, the target also can't breathe or speak until the grapple ends.",,,,,,,"Forest, Mountain, Underdark"
Lizardfolk,MM,Medium,humanoid (lizardfolk),neutral,"15 (natural armor, shield)",22 (4d8 + 4),"30 ft., swim 30 ft.",15,10,13,7,12,7,,"Perception +3, Stealth +4, Survival +5",,,,,passive Perception 13,Draconic,0.5, Hold Breath. The lizardfolk can hold its breath for 15 minutes.," Multiattack. The lizardfolk makes two melee attacks, each one with a different weapon. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Heavy Club. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Spiked Shield. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",,,,,,,"Forest, Swamp"
Vegepygmy,MPMM,Small,plant,neutral,13 (natural armor),13 (3d6 + 3),30 ft.,7,14,13,6,11,7,,"Perception +2, Stealth +4",,"lightning, piercing",,,"darkvision 60 ft., passive Perception 12",Vegepygmy,0.25," Plant Camouflage. The vegepygmy has advantage on Dexterity (Stealth) checks it makes in any terrain with ample obscuring vegetation. Regeneration. The vegepygmy regains 3 hit points at the start of its turn. If it takes cold, fire, or necrotic damage, this trait doesn't function at the start of the vegepygmy's next turn. The vegepygmy dies only if it starts its turn with 0 hit points and doesn't regenerate."," Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage. Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.",,,,,,,"Forest, Swamp"
Giant Frog,MM,Medium,beast,unaligned,11,18 (4d8),"30 ft., swim 30 ft.",12,13,11,2,10,3,,"Perception +2, Stealth +3",,,,,"darkvision 30 ft., passive Perception 12",—,0.25," Amphibious. The frog can breathe air and water. Standing Leap. The frog's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage, and the target is grappled (escape DC 11). Until this grapple ends, the target is restrained, and the frog can't bite another target. Swallow. The frog makes one bite attack against a Small or smaller target it is grappling. If the attack hits, the target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the frog, and it takes 5 (2d4) acid damage at the start of each of the frog's turns. The frog can have only one target swallowed at a time. If the frog dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 5 feet of movement, exiting prone.",,,,,,,"Forest, Swamp"
Thorny Vegepygmy,MPMM,Medium,plant,neutral,14 (natural armor),27 (5d8 + 5),30 ft.,13,12,13,2,10,6,,"Perception +4, Stealth +3",,"lightning, piercing",,,"darkvision 60 ft., passive Perception 14",—,1.0," Plant Camouflage. The thorny has advantage on Dexterity (Stealth) checks it makes in any terrain with ample obscuring vegetation. Regeneration. The thorny regains 5 hit points at the start of its turn. If it takes cold, fire, or necrotic damage, this trait doesn't function at the start of the thorny's next turn. The thorny dies only if it starts its turn with 0 hit points and doesn't regenerate. Thorny Body. At the start of its turn, the thorny deals 2 (1d4) piercing damage to any creature grappling it."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 10 (2d8 + 1) piercing damage.",,,,,,,"Forest, Swamp"
Darkling,MPMM,Small,fey,chaotic neutral,14 (leather armor),13 (3d6 + 3),30 ft.,9,16,12,10,12,10,,"Acrobatics +5, Deception +2, Perception +5, Stealth +7",,,,,"blindsight 30 ft., darkvision 120 ft., passive Perception 15","Elvish, Sylvan",0.5," Death Flash. When the darkling dies, nonmagical light flashes out from it in a 10-foot radius as its body and possessions, other than metal or magic objects, burn to ash. Any creature in that area must succeed on a DC 10 Constitution saving throw or be blinded until the end of its next turn. Light Sensitivity. While in bright light, the darkling has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage plus 7 (2d6) necrotic damage.",,,,,,,"Forest, Swamp, Underdark, Urban"
Giant Rat,MM,Small,beast,unaligned,12,7 (2d6),30 ft.,7,15,11,2,10,4,,,,,,,"darkvision 60 ft., passive Perception 10",—,0.125, Keen Smell. The rat has advantage on Wisdom (Perception) checks that rely on smell. Pack Tactics. The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't incapacitated.," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",,,,,,,"Forest, Swamp, Underdark, Urban"
Giant Bat,MM,Large,beast,unaligned,13,22 (4d10),"10 ft., fly 60 ft.",15,16,11,2,12,6,,,,,,,"blindsight 60 ft., passive Perception 11",—,0.25, Echolocation. The bat can't use its blindsight while deafened. Keen Hearing. The bat has advantage on Wisdom (Perception) checks that rely on hearing.," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage.",,,,,,,"Forest, Underdark"
Kenku,MM,Medium,humanoid (kenku),chaotic neutral,13,13 (3d8),30 ft.,10,16,10,11,10,10,,"Deception +4, Perception +2, Stealth +5",,,,,passive Perception 12,understands Auran and Common but speaks only through the use of its Mimicry trait,0.25," Ambusher. In the first round of a combat, the kenku has advantage on attack rolls against any creature it surprised. Mimicry. The kenku can mimic any sounds it has heard, including voices. A creature that hears the sounds can tell they are imitations with a successful DC 14 Wisdom (Insight) check."," Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage. Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage.",,,,,,,"Forest, Urban"
Cow,VGM,Large,beast,unaligned,10,15 (2d10 + 4),30 ft.,18,10,14,2,10,4,,,,,,,passive Perception 10,—,0.25," Charge. If the cow moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 7 (2d6) piercing damage."," Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage.",,,,,,,Grassland
Scarecrow,MM,Medium,construct,chaotic evil,11,36 (8d8),30 ft.,11,13,11,10,10,13,,,fire,"bludgeoning, piercing, and slashing from nonmagical attacks",poison,"charmed, exhaustion, frightened, paralyzed, poisoned, unconscious","darkvision 60 ft., passive Perception 10",understands the languages of its creator but can't speak,1.0," False Appearance. While the scarecrow remains motionless, it is indistinguishable from an ordinary, inanimate scarecrow."," Multiattack. The scarecrow makes two claw attacks. Claw. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage. If the target is a creature, it must succeed on a DC 11 Wisdom saving throw or be frightened until the end of the scarecrow's next turn. Terrifying Glare. The scarecrow targets one creature it can see within 30 feet of it. If the target can see the scarecrow, the target must succeed on a DC 11 Wisdom saving throw or be magically frightened until the end of the scarecrow's next turn. The frightened target is paralyzed.",,,,,,,Grassland
Cockatrice,MM,Small,monstrosity,unaligned,11,27 (6d6 + 6),"20 ft., fly 40 ft.",6,12,12,2,13,5,,,,,,,"darkvision 60 ft., passive Perception 11",—,0.5,," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) piercing damage, and the target must succeed on a DC 11 Constitution saving throw against being magically petrified. On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified for 24 hours.",,,,,,,Grassland
Rothé,VGM,Large,beast,unaligned,10,15 (2d10 + 4),30 ft.,18,10,14,2,10,4,,,,,,,"darkvision 30 ft., passive Perception 10",—,0.25," Charge. If the rothé moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 7 (2d6) piercing damage."," Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage.",,,,,,,Grassland
Axe Beak,MM,Large,beast,unaligned,11,19 (3d10 + 3),50 ft.,14,12,12,2,10,5,,,,,,,passive Perception 10,—,0.25,," Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage.",,,,,,,"Grassland, Hill"
Hippogriff,MM,Large,monstrosity,unaligned,11,19 (3d10 + 3),"40 ft., fly 60 ft.",17,13,13,2,12,8,,Perception +5,,,,,passive Perception 15,—,1.0, Keen Sight. The hippogriff has advantage on Wisdom (Perception) checks that rely on sight.," Multiattack. The hippogriff makes two attacks: one with its beak and one with its claws. Beak. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage. Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.",,,,,,,"Grassland, Hill, Mountain"
Giant Goat,MM,Large,beast,unaligned,11 (natural armor),19 (3d10 + 3),40 ft.,17,11,12,3,12,6,,,,,,,passive Perception 11,—,0.5," Charge. If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 5 (2d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone. Sure-Footed. The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone."," Ram. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) bludgeoning damage.",,,,,,,"Grassland, Hill, Mountain"
Goat,MM,Medium,beast,unaligned,10,4 (1d8),40 ft.,12,10,11,2,10,5,,,,,,,passive Perception 10,—,0.0," Charge. If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 2 (1d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 10 Strength saving throw or be knocked prone. Sure-Footed. The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone."," Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage.",,,,,,,"Grassland, Hill, Mountain, Urban"
Hadrosaurus,MPMM,Large,beast (dinosaur),unaligned,11 (natural armor),19 (3d10 + 3),40 ft.,15,10,13,2,10,5,,Perception +2,,,,,passive Perception 12,—,0.25,," Tail. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) bludgeoning damage.",,,,,,,"Grassland, Swamp"
Ox,MPMM,Large,beast (cattle),unaligned,10,15 (2d10 + 4),30 ft.,18,10,14,2,10,4,,,,,,,passive Perception 10,—,0.25, Beast of Burden. The ox is considered to be one size larger for the purpose of determining its carrying capacity.," Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage. If the ox moved at least 20 feet straight toward the target immediately before the hit, the target takes an extra 7 (2d6) piercing damage.",,,,,,,"Grassland, Urban"
Riding Horse,MM,Large,beast,unaligned,10,13 (2d10 + 2),60 ft.,16,10,12,2,11,7,,,,,,,passive Perception 10,—,0.25,," Hooves. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) bludgeoning damage.",,,,,,,"Grassland, Urban"
Stench Kow,MPMM,Large,fiend (cattle),unaligned,10,15 (2d10 + 4),30 ft.,18,10,14,2,10,4,,,,"cold, fire, poison",,,"darkvision 60 ft., passive Perception 10",—,0.5," Stench. Any creature other than a stench kow that starts its turn within 5 feet of the stench kow must succeed on a DC 12 Constitution saving throw or be poisoned until the start of the creature's next turn. On a successful saving throw, the creature is immune to the Stench of all stench kows for 1 hour."," Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage. If the stench kow moved at least 20 feet straight toward the target immediately before the hit, the target takes an extra 7 (2d6) piercing damage.",,,,,,,"Grassland, Urban"
Firenewt Warlock of Imix,MPMM,Medium,elemental,neutral evil,10,33 (6d8 + 6),30 ft.,13,11,12,9,11,14,,,,,fire,,"darkvision 120 ft., passive Perception 10","Draconic, Ignan",1.0," Amphibious. The firenewt can breathe air and water. Devil's Sight. Magical darkness doesn't impede the firenewt's darkvision. Imix's Blessing. When the firenewt reduces an enemy to 0 hit points, the firenewt gains 5 temporary hit points."," Multiattack. The firenewt makes three Morningstar or Fire Ray attacks. Morningstar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) piercing damage. Fire Ray. Ranged Spell Attack: +4 to hit, range 120 ft., one target. Hit: 5 (1d6 + 2) fire damage. Spellcasting. The firenewt casts one of the following spells, using Charisma as the spellcasting ability (spell save DC 12):At will: guidance, light, mage armor, mage hand, prestidigitation",,,,,,,"Hill, Mountain, Underdark"
Giant Strider,MPMM,Large,elemental,unaligned,14 (natural armor),22 (3d10 + 6),50 ft.,18,13,14,4,12,6,,,,,fire,,passive Perception 11,—,1.0," Fire Absorption. Whenever the giant strider is subjected to fire damage, it takes no damage and regains a number of hit points equal to half the fire damage dealt."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage. Fire Burst (Recharge 5–6). The giant strider hurls a gout of flame at a point it can see within 60 feet of it. Each creature in a 10-foot-radius sphere centered on that point must make a DC 12 Dexterity saving throw, taking 14 (4d6) fire damage on a failed save, or half as much damage on a successful one. The fire spreads around corners, and it ignites flammable objects in that area that aren't being worn or carried",,,,,,,"Hill, Mountain, Underdark"
Swarm of Bats,MM,Medium,swarm of tiny beasts,unaligned,12,22 (5d8),"0 ft., fly 30 ft.",5,15,10,2,12,4,,,,"bludgeoning, piercing, slashing",,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 60 ft., passive Perception 11",—,0.25," Echolocation. The swarm can't use its blindsight while deafened. Keen Hearing. The swarm has advantage on Wisdom (Perception) checks that rely on hearing. Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny bat. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +4 to hit, reach 0 ft., one creature in the swarm's space. Hit: 5 (2d4) piercing damage, or 2 (1d4) piercing damage if the swarm has half of its hit points or fewer.",,,,,,,"Hill, Mountain, Underdark, Urban"
Raven,MM,Tiny,beast,unaligned,12,1 (1d4 - 1),"10 ft., fly 50 ft.",2,14,8,2,12,6,,Perception +3,,,,,passive Perception 13,—,0.0," Mimicry. The raven can mimic simple sounds it has heard, such as a person whispering, a baby crying, or an animal chittering. A creature that hears the sounds can tell they are imitations with a successful DC 10 Wisdom (Insight) check."," Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",,,,,,,"Hill, Swamp, Urban"
Neogi Hatchling,MPMM,Tiny,aberration,lawful evil,11,7 (3d4),"20 ft., climb 20 ft.",3,13,10,6,10,9,,,,,,,"darkvision 60 ft., passive Perception 10",—,0.125," Mental Fortitude. The neogi has advantage on saving throws against being charmed or frightened, and magic can't put the neogi to sleep. Spider Climb. The neogi can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage plus 3 (1d6) poison damage, and the target must succeed on a DC 10 Constitution saving throw or become poisoned for 1 minute. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,,,,"Hill, Underdark"
Xvart Warlock of Raxivort,MPMM,Small,monstrosity,chaotic evil,12,22 (5d6 + 5),30 ft.,8,14,12,8,11,12,,Stealth +3,,,,,"darkvision 30 ft., passive Perception 10",Abyssal,1.0," Raxivort's Blessing. When the xvart reduces an enemy to 0 hit points, the xvart gains 4 temporary hit points. Raxivort's Tongue. The xvart can communicate with ordinary bats and rats, as well as giant bats and giant rats."," Multiattack. The xvart makes two Scimitar or Raxivort's Bite attacks. Scimitar. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage. Raxivort's Bite. Ranged Spell Attack: +3 to hit, range 30 ft., one creature. Hit: 7 (1d10 + 2) poison damage. Spellcasting. The xvart casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 11):At will: detect magic, mage armor (self only), mage hand, minor illusion, prestidigitation1/day each: burning hands, invisibility", Low Cunning. The xvart takes the Disengage action.,,,,,,"Hill, Underdark"
Xvart,MPMM,Small,monstrosity,chaotic evil,13 (leather armor),7 (2d6),30 ft.,8,14,10,8,7,7,,Stealth +4,,,,,"darkvision 30 ft., passive Perception 8",Abyssal,0.125," Raxivort's Tongue. The xvart can communicate with ordinary bats and rats, as well as giant bats and giant rats."," Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. If at least one of the xvart's allies is within 5 feet of the target, the xvart can push the target 5 feet if the target is a Medium or smaller creature. Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.", Low Cunning. The xvart takes the Disengage action.,,,,,,"Hill, Underdark"
Xvart Speaker,VGM,Small,humanoid (xvart),chaotic evil,13 (leather armor),7 (2d6),30 ft.,8,14,10,13,7,7,,Stealth +4,,,,,"darkvision 30 ft., passive Perception 8",Abyssal and one additional language (usually Common or Goblin),0.125," Low Cunning. The xvart can take the Disengage action as a bonus action on each of its turns. Overbearing Pack. The xvart has advantage on Strength (Athletics) checks to shove a creature if at least one of the xvart's allies is within 5 feet of the target and the ally isn't incapacitated. Raxivort's Tongue. The xvart can communicate with ordinary bats and rats, as well as giant bats and giant rats."," Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.",,,,,,,"Hill, Underdark"
Aarakocra,MM,Medium,humanoid (aarakocra),neutral good,12,13 (3d8),"20 ft., fly 50 ft.",10,14,10,11,12,11,,Perception +5,,,,,passive Perception 15,"Auran, Aarakocra",0.25," Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target."," Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.",,,,,,,Mountain
Star Spawn Grue,MPMM,Small,aberration,neutral evil,11,17 (5d6),30 ft.,6,13,10,9,11,6,,,,,psychic,,"darkvision 60 ft., passive Perception 10",Deep Speech,0.25," Aura of Shrieks. Creatures within 20 feet of the grue that aren't Aberrations have disadvantage on saving throws, as well as on attack rolls against creatures other than a star spawn grue."," Confounding Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) piercing damage, and the target must succeed on a DC 10 Wisdom saving throw or attack rolls against it have advantage until the start of the grue's next turn.",,,,,,,"Mountain, Swamp"
Duergar Soulblade,MPMM,Medium,humanoid (dwarf),any alignment,14 (leather armor),27 (6d8),25 ft.,16,16,10,11,10,12,,,,poison,,,"darkvision 120 ft., passive Perception 10","Dwarvish, Undercommon",1.0," Duergar Resilience. The duergar has advantage on saving throws against spells and the charmed, paralyzed, and poisoned conditions. Sunlight Sensitivity. While in sunlight, the duergar has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Soulblade. Melee Spell Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) force damage, or 13 (3d6 + 3) force damage while under the effect of Enlarge. Invisibility (Recharges after a Short or Long Rest). The duergar magically turns invisible for up to 1 hour or until it attacks, it forces a creature to make a saving throw, or its concentration is broken (as if concentrating on a spell). Any equipment the duergar wears or carries is invisible with it."," Enlarge (Recharges after a Short or Long Rest). For 1 minute, the duergar magically increases in size, along with anything it is wearing or carrying. While enlarged, the duergar is Large, doubles its damage dice on Strength-based weapon attacks (included in the attacks), and makes Strength checks and Strength saving throws with advantage. If the duergar lacks the room to become Large, it attains the maximum size possible in the space available.",,,,,,"Mountain, Underdark"
Derro,MPMM,Small,aberration,chaotic evil,13 (leather armor),13 (3d6 + 3),30 ft.,10,14,12,11,5,9,,Stealth +4,,,,,"darkvision 120 ft., passive Perception 7","Dwarvish, Undercommon",0.25," Magic Resistance. The derro has advantage on saving throws against spells and other magical effects. Sunlight Sensitivity. While in sunlight, the derro has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Hooked Spear. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage. If the target is Medium or smaller, the derro can choose to deal no damage and knock it prone. Light Crossbow. Ranged Weapon Attack: +4 to hit, range 80/320 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",,,,,,,"Mountain, Underdark"
Bullywug,MM,Medium,humanoid (bullywug),neutral evil,"15 (hide armor, shield)",11 (2d8 + 2),"20 ft., swim 40 ft.",12,12,13,7,10,7,,Stealth +3,,,,,passive Perception 10,Bullywug,0.25," Amphibious. The bullywug can breathe air and water. Speak with Frogs and Toads. The bullywug can communicate simple concepts to frogs and toads when it speaks in Bullywug. Standing Leap. The bullywug's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start. Swamp Camouflage. The bullywug has advantage on Dexterity (Stealth) checks made to hide in swampy terrain."," Multiattack. The bullywug makes two melee attacks: one with its bite and one with its spear. Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage. Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.",,,,,,,Swamp
Mud Mephit,MM,Small,elemental,neutral evil,11,27 (6d6 + 6),"20 ft., fly 20 ft., swim 20 ft.",8,12,12,9,11,7,,Stealth +3,,,poison,poisoned,"darkvision 60 ft., passive Perception 10","Aquan, Terran",0.25," Death Burst. When the mephit dies, it explodes in a burst of sticky mud. Each Medium or smaller creature within 5 feet of it must succeed on a DC 11 Dexterity saving throw or be restrained until the end of the creature's next turn. False Appearance. While the mephit remains motionless, it is indistinguishable from an ordinary mound of mud."," Fists. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) bludgeoning damage. Mud Breath (Recharge 6). The mephit belches viscid mud onto one creature within 5 feet of it. If the target is Medium or smaller, it must succeed on a DC 11 Dexterity saving throw or be restrained for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,,,,Swamp
